shadjamam|షడ్జమం  
bhupalika| భూపాలీక 
amrtaranjani|అమృతరంజని 
vakulabharana|వకులాభరణ 
aruarumalati| ఆరుఆరుమాలతి 
kuntalaghantanam|కుంతలఘంటనం 
shrikari|శ్రీకరి 
bairagibhairav|బైరాగిభైరవ్
shrisavitri|శ్రీసావిత్రీ 
manasikagamini|మానసికగామిని 
shrinalinakanti|శ్రినళినకాంతి 
karnatakasaranga|కర్ణటకసరంగ
uzhaimarutam|ఉజైమరుతం
cinmaya|చిన్మయ 
calanata|కాలాన్త 
karmini|కర్మిని 
badari|బదరీ 
alaimaghal|అలైమఘల్ 
sukhasvaravali|సుఖస్వరవళి 
dhowta| దౌత 
kanakambari|కనకాంబరి 
aprameya|అప్రమేయ 
champakamalini|చంపకమాలిని 
divyatorani|దివ్యతోరని 
purpati|పుర్పతి 
nayanabhasini|నయనభాషిణి 
yogini|యోగిని 
yogabodhana|యోగబోధన 
sowgandini|సౌగంధిని 
tiritiyam|తిరితియం 
perandabhogi|పేరందభోగి 
pankeruha|పంకేరుహ 
purnamukhari|పూర్ణముఖరి 
shrighantanam|శ్రీఘంటనం 
garjam|గర్జమ్ 
hamsanandi|హంసానంది 
tapollasani|తపోల్లసాని 
bhogeshvari|భోగేశ్వరి 
ganahemavati|గణహేమవతి 
devikarakam|దేవికారకం 
shailadeshaakshhi|శైలదేశాక్షిహి 
janudvaya|జానుద్వయ 
jivikavasantam|జీవికవసంతం 
sindhudeshyamalavi| సింధుదేశ్యమలవి 
vijayaratnakari|విజయరత్నకరి 
devakanta|దేవకాంత 
reranjani|రెరంజని 
amrta|అమృత 
arunangi|అరుణంగి 
vrsamani|వర్షమని 
divyagandhari|దివ్యగంధారి 
venkatacalan|వేంకటచలన్ 
pancamurti|పంచమమూర్తి 
marmaksari|మర్మక్షరి 
supravahini|సుప్రవాహిని 
deshyakhamas|దేశ్యఖమస్ 
kucamargini|కుచమార్గిని 
ganapinadi|గణపైనది 
kedilam|కేదిలం 
dhenuka|ధేనుక 
shuddhasena|శుధ్ధసేన 
toyavegavahini|తోయవేగవాహిని 
rugmadhvaja| రుగ్మధ్వజ 
alaru|అలరు
vaikulliyam| వైకుల్లియం 
navarasamala|నవరసమల 
kalatti| కలత్తి  
jayasaveri|జయసావేరి 
nerikkorai|నెఱిక్కొరై 
navarasakuntali|నవరసకుంటాలి 
sidraksi| సిడ్రాక్సీ 
kalavali|కలవాలి 
samantamallar|సామంతమల్లార్ 
muktambari|ముక్తాంబరి 
sarasamangala|సరసమంగళ 
pancamam|పంచమం 
rati|రతి 
rudrasaveri|రుద్రసవేరి 
sindhugauri|సింధుగౌరి 
vajrangam|వజ్రంగం 
lolaski|లోలాస్కి 
vitashokan|వీతశోకన్ 
tirumacakran|తిరుమచక్రాన్ 
shyamacintamani|శ్యామచింతమణి 
bindumalini|బిందుమాలిని 
mukhari|ముఖరీ 
ghananata|ఘనానాట
velavam|వెలవం 
jushangada|జూషంగడ 
dakka| డక్క 
shrutiranjani|శృతిరంజని 
hindughantarava|హిందూఘంటారావ  
lalitakoshala|లలితకోశాల 
niraksam|నిరక్షమ్ 
shudarkodi|శుదర్కొంది 
sarangatarangini|సారంగతరంగిణి 
dhrtavardhana|ధృతవర్ధన 
rolambadhvani|రోలాంభధ్వని 
elli|ఎల్లి 
kanjam|కంజం 
kalyanatarangini|కళ్యాణాతరంగిణి 
kanjapunji|కంజపుంజి 
manimanjari|మణిమంజరి 
ramyapancamam|రమ్యపంచమం 
navarasakalanidhi|నవరసకలనిధి 
kubjavirata|కుబ్జావిరట 
bhrngivilasitam|భ్రున్గీవిలసితం 
idaikkadan|ఇదైక్కడన్ 
regupti|రేగుప్తి 
ardradesi|ఆర్ద్రదేసి 
purnapancamam|పూర్ణపంచమాం 
niriksanam|నిరీక్షణం 
shubhamayuradhvani|శుభమాయురధ్వని 
nilambari|నీలాంబరి
tirumaalavan|తిరుమాలవన్ 
hemapriya|హేమప్రియ 
sarasanayaki|సరసనాయకి 
mautkadhanyasi|మౌత్కధన్యాసి 
bhramarikamanjari|భ్రామరికమంజరి 
shyamagaula|శ్యామగౌళ 
devamrtavarsani|దేవమృతవర్షని 
shrinandana|శ్రీనందన 
malavapancamam|మాళవపంచమం 
raktaksi|రక్తాక్షి 
gambhiranata|గంభీరనటా 
jnegizhi|జేనేగిజహి 
pratimadhyamam|ప్రతిమధ్యమం 
pullakntham|పుల్లకంతం 
madhavakalyani|మాధవకళ్యాణి 
bhairavam|భైరవం 
jayasindhu|జయసింధు 
rudrabhisekam|రుద్రాభిషేకం 
kusumakara|కుసుమకర 
bhamini|భామిని 
rudramani|రుద్రమణి 
bharati|భారతి 
vaneru|వనేరు 
ezhilanayakan|ఎజ్హిళానాయకన్ 
ghanakelini|ఘనకేళిన్ 
atakuta|అటకుత 
muktamani|ముక్తామణి 
vijikalita|విజికలిత 
rangarohini|రంగరోహిణి 
chayashankarabharana|చయశంకరాభరణ 
dipikavasantam|దీపికవసంతం 
madanamarutam|మదనమరుతాం 
mahamari|మహామరి 
ratnabharana|రత్నాభరణ 
vagvimati|వాగ్విమతి 
bhairavadhvani|భైరవధ్వని 
trivikrini|త్రివిక్రిని 
suvarnangi|సువర్ణాంగి 
govindambini|గోవిందంబిని 
gotrari|గోత్రరి 
tamarattai|తామరత్తై 
vasyapriya|వస్యప్రియ 
candracuda|చంద్రచూద 
dvaitapancamam|ద్వైతపంచమం  
nemangi|నేమంగి 
deshyagaula|దేశ్యగౌళ 
bhadragandhari|భద్రాగాంధారి 
kuntalabhogi|కుంతలభోగి 
anandai|ఆనందాయి 
todukkam|తోడుక్కమ్ 
kesaravali|కేసరవాలి 
marutti|మరుత్తి 
shuddhamalahari|శుద్ధమలహరి 
puradahanapriya|పురదహనప్రియా!
kokilakamavardhani|కోకిలకమావర్ధని 
baulangi|బౌలంగి 
hamsadipakam|హంసదీపకం 
priyavirama|ప్రియవిరామ 
emman|ఎమ్మాన్ 
ketakapriya|కేతకప్రియ
bhadra|భద్ర 
muktavali|ముక్తవలి 
gurudasan|గురుదాసన్ 
tucakam|తుచకం 
tiruccintani|తిరుచ్చిన్తని 
bhaktapriya|భక్తప్రియ 
murti|మూర్తి
upendran|ఉపేంద్రన్ 
gavavati| గవవతి 
hanumakkodiyon|హనుమక్కోడియోన్ 
simhelakapi| సింహేలకపై 
devaranji|దేవరంజి 
ayan|ఆయన్ 
niskam|నిస్కమ్ 
perinbanandi| పెరిన్బనంది 
sarala|సరళ 
devaranjani|దేవరంజని 
pudali|పుడలి 
rambhavali|రంభావళి 
haritapriya|హరితప్రియ 
prameya|ప్రమేయ 
janani|జననీ 
gauriranjani|గౌరీరంజని 
ghosini|ఘోసిని 
manorama|మనోరమ 
yogasaurabham|యోగసౌరభం 
lokottaramani|లోకోత్తరమణీ 
sampradayatodi|సంప్రదాయతోడి 
julavu|జులవు 
nadatarangini|నాదతరంగిని 
vishvanarayani|విశ్వనారాయణి 
senavati|సేనవతి 
gobhinam|గోభినం 
ganasvabhavam|గణస్వభావం 
shubhali|శుభాలి 
tyagan|త్యాగన్ 
narayani|నారాయణి 
puspalatika| పుష్పలతిక 
gaurikriya|గౌరిక్రియ 
caruvardhani|చారువర్ధని 
harenapi|హారేనపి 
bhogakannada|భోగకన్నడ 
subhosini|సుభోసిని 
jhankaramani|ఝాన్కారమని 
karnatakasurati|కర్ణాటకసూరతి 
somatarangini|సోమతరంగిని 
bhramarahamsi|భ్రమరహంసి
socikabharana|సొచికాభరణ
nabhomargini|నభోమార్గిని 
devakunjaripriyan|దేవకుంజరిప్రియన్
bahudamani|బహుదామని
avidaiyar|ఆవిడైయర్ 
kumaravilasita|కుమారవిలసిత 
vativasantabhairavi|వతివసంతభైరవి
talicam|తలిచం
patolika|పటోలిక
sowrasenaa|సౌరసెనా
dirghadarshi|దీర్ఘదర్శి 
sumadyuti|సుమద్యుతి
saujanya|సౌజన్య
modakam|మోదకం
govardini|గోవర్దిని
amrtalahari|అమృతలహరి 
sarasangi|సరసాంగి
marakatabhusani|మరకతభూషిని
shrinarayanadeshaksi|శ్రీనారయణదేశాక్షి 
nilamani|నీలమణి
sohini|సోహినీ
kanthiya|కాంతియ 
vijayollasini|విజయోల్లాసిని
gokulamurti|గోకులమూర్తి
latatanvi|లతతన్వి 
devamrtavahini|దేవమృతవాహిని 
torai|తొరై
samudrapriya|సముద్రప్రియ
rajaratna|రాజరత్న 
vasantaka|వసంతక
bhujangini|భుజంగిని
shardalangi|శార్దలాంగి 
sakalaloka|సకలలోక
bhusavali|భుసావలి 
shesanadam|శేషనాదం 
pakandai|పకండై
sarathi|సారథి
shevvalli|షేవల్లి 
deshagaula|దేశగౌల
ravikantamani|రావికాంతమణి
karikala|కరికల
hamsashreni|హంసశ్రేణి 
shuklakarnataka|శుక్లకర్ణాటక 
vanadayaki|వనదయాకి 
bhavabharanam|భావభరణం 
avanikelva|ఆవణికేల్వ 
taksam|తక్సం
sitapancamam| సీతపంచమం 
vidraksi|విద్రక్సి 
tiruindra|తిరుఇంద్ర 
mahaambika|మహాంబిక 
svaravedi|స్వరవేది 
visiambari|విసిఅంబరీ 
manimaya|మణిమయ 
mattakashini|మత్తకాశిని 
sangamana|సంగమన 
ganavaridhi|గణవరిధి
guhatirumalai|గుహాతిరుమలై 
gunakangiya|గునకాంగియ 
brndavanasalaga| బృందావనసలగ
navagahamulika|నవగహమూలిక 
hindolasaveri|హిందోళసావేరి 
amrtalaksmi|అమృతలక్ష్మి 
namanarayani|నమనారాయని 
ganalalita|గణలలిత 
hindoladarbar|హిందోళాదర్బార్ 
sahasranamam|సహస్రనామం 
paramanandi|పరమానంది 
shuddhachayavati|శుధ్ధచయవతి 
huttari|హుత్తరి 
mrganandanam|మృగనందనం 
bhuvanamohini|భువనమోహిని 
azhalvannannayaki|అజల్వణ్ణనాయకీ 
godhari|గోధారి 
vurugamanjari|వురుగమంజరి 
balagambhirya|బలగంభీర్య 
sharavibhasani|శరవిభాసాని 
omkarapriya|ఓంకారప్రియ
andalinavarasam|అందలినవరసం 
bhismavali|బిస్మావలి 
japaniya|జపనీయ 
indukaushika|ఇందుకౌశిక!
dhanaranjani|ధనరంజని 
krkara|కృకర 
sancelita|సంచెలిత 
omkari|ఓంకారీ 
arunambari|అరుణంబరి 
paroda|పరోద 
villi|విల్లి 
nalola|నలోల 
jayantasena|జయంతసేన 
yashomani|యశోమని 
candrakauns|చంద్రకౌన్స్ 
magatarangini|మగతరంగిని 
ashvati|అశ్వతి 
purnasupura|పూర్ణసుపుర 
preyasi|ప్రేయసి 
vilambhuri|విల్లంబురీ 
pravalajyoti|ప్రవలజ్యోతి 
shaurivilasita|శౌరివిలసిత 
usavali|ఉసవాలి 
shrikaivalyam|శ్రీకైవల్యం 
elaprabhavam|ఎలప్రభావం 
udiyan|ఉడియన్ 
citrasaurabham|చిత్రసౌరభం 
bhasini|భాసిని  
namagal|నమగల్ 
tarabharanam|తారాభరణం 
indrakilam|ఇంద్రకిలం 
mahitan|మహితన్ 
shivanakini|శివానకిని 
subhusani|సుభుసాని 
hitapriya|హితప్రియ
chayagaula|ఛాయాగౌళ 
margamohini|మార్గమొహిని 
kaltavapriya|కాల్తవప్రియ 
sarangabhramari|సారంగభ్రమరీ 
bhanumati|భానుమతి
behag|బేహాగ్ 
dhiravarali|ధీరవరాలి 
nagapriyan|నాగప్రియన్ 
shritivravahini|శ్రీతీవ్రవాహిని 
gunavati|గుణవతి 
purnaka|పూర్ణక 
cakari|చకారి 
kantimati|కాంతిమతి 
giridharini|గిరిధరిని 
shvetambudhi|ష్వెతాంబుధి 
kurinji|కురింజి 
niyakrodam|నియక్రోదం 
tiruandivanna|తీరుఅందివన్న 
jayashuddhamalavi|జయశుద్ధమలవి 
tiruccandan|తిరుచ్చనందన్ 
jujavanti|జుజావంతి 
nagakuntali|నాగకుంతలి
bilahari|బిలహరి 
sahanayakan|సహానాయకన్ 
tarangam|తరంగం 
camaram|చమరం 
ghrtacci|ఘ్రతచ్ఛి 
shengidai|శెంగిడై 
karuvali|కరువలి 
shuddhanepala|శుద్ధనేపాళ 
amudasurabhi|ఆముదసురభి 
ghantaidarbar|ఘంటైదర్బార్
sundaravana|సుందరవన 
someshvarapriya|సోమేశ్వరప్రియ 
dayaranjani|దయరంజని 
kadaram|కదరం 
vakulashri|వకులశ్రీ 
hamsabhusani|హంసభుసాని 
kalaavati|కళావతి 
caravibhasini|చరవిభాషిణీ 
sadvadhvani|సద్వధ్వని 
pudan| పుడన్ 
kesarikriya|కేసరిక్రియ 
ramakali|రామకలి 
shuddhagantaravam|శుద్ధగంటారావం 
udupati|ఉడుపతి 
panacam|పనచం  
saundarya|సౌందర్య 
parvati|పార్వతి 
vagadishvari|వగదీశ్వరి 
rajaranjani|రాజారంజని 
pramodini|ప్రమోదిని 
pancasyanandana|పంచాస్యనందన 
martandavasantam| మార్తాండవసంతం 
cakkarakuliya| చక్కరకులియ 
devagandhari|దేవగాంధారి 
kuzhagan|కుజాగన్
pinakam|పినకం 
bhavaani|భవాని 
rajamanohari|రాజమనోహారి 
meghapantu|మేఘపంతు 
campak| కాంపాక్ 
khandajvalana|ఖండజ్వలన 
odishil| ఒడిశిల్ 
kesabauli|కేసభౌలి
maraherali| మరహెరాలి 
samanojhvala|సమనోజ్జ్వల 
yataksi|యతక్సి 
bahumanini| బహుమణిని 
tapaniyam|తపనీయం 
indradhanu|ఇంద్రధను 
cittaranjillini|చిత్తరంజిల్లిని 
haridarpa| హరిదర్ప 
varnikadari| వర్ణికదారి 
ishatarangini| ఇషాతరంగిణి 
yamunakalyani|యమునకళ్యాణి 
candika| చంద్రిక 
rangalila|రంగలీల 
shrierurndon| శ్రీఎరురున్డోన్ 
phaladayaki|ఫలదాయకి 
nadarupi|నాదరూపి 
kakavasant|కాకవసంత్ 
shrikanti|శ్రీకాంతి 
shrilalita| శ్రీలలిత 
maujivakam|మౌజీవకం 
nirvitam|నిర్వితం 
vasumati|వసుమతి 
sharamocani|శరమోచ్చని 
punjal|పుంజల్ 
margavi|మార్గవీ 
bhavani|భవానీ 
tejovati|తేజోవతి 
vasantanathan| వసంతనథన్ 
deshashri|దేశశ్రీ 
deshyakapi| దేశ్యకపి 
shivai| శివై 
turiyam|తురీయం 
dhruvakirnavam|ధృవకిరణవం 
hemant|హేమంత్ 
saudhamini|సౌధమిని 
kundaka|కుందక 
padmini|పద్మిని 
madhyakokila|మధ్యకోకిల 
bahudari|బాహుదరి 
ragaguchcham|రాగగుచ్ఛం 
bhanukirani|భానుకీరని 
kesara|కేసర 
kendaviksepa| కేందవిక్షేప 
indala|ఇందల 
bhijanam| భీజనం 
mardyadruma|మర్ధ్యద్రుమ 
mohanaraga|మోహనరాగ 
kuntalakambhoji|కుంతలకాంభోజీ 
sharadapriya| శారదప్రియ 
tirumaarivan|తిరుమారివన్
kodunugam| కోడునుగమ్ 
citrini| చిత్రిని 
kanai| కనై 
jnanavadi|జ్ఞానవాది 
surasindhu| సురసింధు 
punnagavarali|పున్నాగవరాలి 
ghoradarshini|ఘోరదర్శినీ 
cholakurinji| చోళకురింజి 
raghupriya|రఘప్రియ 
deshyabangala| దేశ్యబంగళ
jivanpuri| జీవన్పురీ 
dhiranayaki|ధీరనాయకి 
deshyakannada|దేశ్యకన్నడ 
matsyadruma|మత్స్యద్రుమ 
suravikrama|సురవిక్రమ 
shriratnambari|శ్రీరత్నంబరి 
dirghadarshini|ధీర్ఘదర్శిని 
esari|ఎసరి 
murtivasantam| మూర్తివసంతం 
vasodhari|వాసోధారి 
heramba|హేరంబ 
janatodi|జనతోడి 
shashimanjari|శశిమంజరి 
namagan|నమగన్ 
gaudamalak|గౌడమలక్ 
bhramarahamsini|భ్రమరహంసినీ 
kaushikalalita|కౌశికలలిత 
kaushilakam|కౌశీలకం 
suramanjari|సురమంజరి 
nadasvarupi|నాదస్వరూపీ 
suranandini|సురనందిని 
karikarnika|కరికర్ణిక 
simhanada|సింహనాద 
shevvazhi| షెవ్వజహి 
satvamanjari|సత్యవంజరి 
purnasadjam|పూర్ణసద్జం 
jarangi|జరంగి 
stulavariti|స్థూలవరితి 
yuddhapravartini|యుద్ధప్రవర్తినీ 
suparamu|సుపరము 
kanakacandrika|కనకచంద్రిక
tarukanalan|తరుకనలన్
pirugu|పిఱుగు 
sugunaposhini|సుగుణపోషిణి 
bhogasamantam|భోగసమంతం 
karani|కరని 
gajanandini|గజనందిని 
janini|జనిని 
gamanalalita|గమనలలిత 
kalati|కలతి 
dundumi|దుందుమి 
jayasarasvati|జయసరస్వతి 
parvapavadi|పార్వపావడి
baladayaki|బలదయకి 
shuddhasaveri|శుధ్ధసావేరి 
vijayaprada|విజయప్రద 
ganavati|గానవతి 
dhamaranjani|ధమరంజని 
nattapadai|నత్తపాడై 
ratnavali|రత్నావళి 
sami|సామీ 
induhavali|ఇందుహావాలి 
tirukkaumari|తిరుక్కఉమారి 
bangarapriya|బంగారప్రియ 
komala|కోమల 
sharadabharani|శారదాభరణి 
sharmila|షర్మిల 
cetulavali|చేతులవలి 
sudhamanohari|సుధామనోహారి 
tirusamayatitan|తిరుసమయతితాన్ 
madhukari|మధుకరి 
kujan|కుజన్ 
tarangu|తరంగు 
pashanarayani|పాశనారాయని 
nilandar|నీలందర్ 
saindavagauri|సైన్ధవగౌరీ 
nagayutam|నాగయుతం 
kumbal|కుంభాల్ 
saptashvakirani|సప్తాశ్వకిరని 
kodanda|కోదండ 
sarjamani|సర్జామని 
kolu|కొలు 
nanganduru|నంగందురు 
madholika|మదోళిక 
vippakazhi|విప్పకజహి 
vipula|విపుల 
raghulila|రఘులీల 
mayamalavagaula|మాయమళవగౌళ 
purvi|పూర్వి 
kattalam|కట్టలం 
gaundgiri|గౌంద్గిరి
gitapriya|గీతప్రియ 
sherakkurinji|షెరకురింజి 
devakurinji|దేవకురింజి 
mitraranjani|మిత్రరంజని 
dipakanti|దీపకాంతి 
astamurti|అష్టమూర్తి 
antarakodicci|అంతరకొడిచ్చి 
yogabhairavi|యోగభైరవి 
ratnabharani|రత్నాభరణీ 
guhapanati|గుహాపణతి 
shyamalangi|శ్యామలాంగి 
bhogadhvani|భోగధ్వని
sakalavallanayakan|సకలవల్లనాయకన్ 
shrinavarasabangala|శ్రీనవరసబంగలా 
kaddalam|కడ్డలం 
pishumantam|పిశుమంతం 
khadyotakanti|ఖద్యోతకాంతి 
karyamati|కార్యమతి 
salagabhairavi|సాలగభైరవి 
syayagaula|స్యయగౌళ 
ghantaideshiyam|ఘంటైదీషియం
vibhavari| విభవరి 
tekkali|టెక్కలి 
agamapriya|అగమప్రియ 
divyambari|దివ్యంబరి 
tomrapani|తొంరపాణి 
karanjakam|కరంజకం 
dhanapratapa| ధనప్రతాప 
hemanta|హేమంత 
shankarabharanam|శంకరాభరణం 
devaranjini|దేవరంజిని 
trikantham|త్రికాంతం 
madhavashri|మాధవశ్రీ 
purnagandhari|పూర్ణగాంధారీ 
tamasvini|తమస్విని 
mecasaveri|మేచసావేరి 
bharmakesari|భర్మకేసరీ 
proda|ప్రొడ 
kaltada|కాల్తడా 
putkarini|పూత్కారిని 
adbhodam|అద్భోడం 
darakavasanta|దారకవసంత 
janasammodini|జనసమ్మోదిని 
suryakanta|సూర్యకాంత
maruvavasantam|మరువవసంతం 
inavardhani|ఇనవర్ధని 
nigamanasa|నిగమనస 
vidyamali|విద్యామలి 
karmukhavati|కర్ముఖవతి 
akkam|అక్కం 
somabhairavi|సోమభైరవి 
divyakuntala|దివ్యకుంతల 
usa|ఉస
panadavi|పనాదవి
shuravu|శురవు 
ravicandrika|రవిచంద్రిక 
vedasvarupi|వేదస్వరూపి 
chaayaavati|ఛాయావతి 
kaustubhapriya|కౌస్తుభప్రియ 
naasaamani|నాసామనీ 
nutabhasitam|నూతభాసితం 
tattanuppi|తత్తనుప్పి 
rupavati|రూపవతి 
karnatagaula|కర్ణాటగౌళ 
sukhapani| సుఖపాణి 
shubhavali|శుభవాలి 
jalajavati|జలజవతి 
krisnaveni|క్రిష్ణవేణి 
samatitam|సమతితమ్ 
pittikai|పిట్టికై 
haridasapriya|హరిదసప్రియ 
kadanakutuhalam|కదనకుతూహలం 
sutradharini|సుత్రధారిణి 
anandakuttan|ఆనందకుట్టన్ 
dharmavati|ధర్మవతి 
jagadbari|జగద్బరి
balahamsa|బాలహంస 
dhunibhinnashadjam|ధునిభిన్నషడ్జమ్ 
varavarnini|వరవర్ణిని 
jingalabhairavi|జింగలభైరవి 
gauriyan|గౌరియన్ 
ramaamanohari|రామామనోహారి 
bhagyashabari|భాగ్యశబరీ 
angalata|అంగలత 
hatakangi|హటకాంగి 
senamani|సేనమని 
makaranartanapriya|మకరనర్తనప్రియ!
jambu|జంబు 
maudakadhanyasi|మౌదకధాన్యసి 
mahakokilam|మహాకోకిలమ్ 
kandarpa|కందర్ప 
dhaalivaraali|దాళివరాలి 
gunapriya|గుణప్రియ 
sarvakalamanjari|సర్వకాలమంజరీ 
maghantarava|మాఘంటారావ 
samantashrimani|సమంతశ్రీమణి
priyadarshini|ప్రియదర్శిని 
dhirnkari|దీర్ణకారి 
malavakannada|మలవకన్నడ 
deshyanarayani|దేశ్యనారాయణి 
accan|అచ్చన్ 
shirodhi|శిరోధి 
aimadiyal|ఐమదియల్
sudharmini|సుధర్మిని 
siriyanangai|సిరియానంగై 
punazhakkai|పునజక్కై  
shriviravasanta|శ్రీవీరవసంత 
divyabharanam|దివ్యభరణం 
arana|అరన 
ksanapriya|క్షణప్రియ 
vinadhari|వినదరి 
jutalaka|జూతలక 
yadukulakambhoji|యదుకులకాంభోజి 
pancamalalita|పంచమలలిత 
tishayam|తిషయం 
karikadya|కరికాద్య 
ghanakesi|ఘనకేసి 
tiruchcherutti|తిరుచ్చెరుట్టి
tiruaravindai|తిరుఅరవిందై 
pravrtti|ప్రవృత్తి 
anandabhogi|ఆనందభోగి 
mahanandini|మహానందిని 
mahotti|మహొట్టి 
surantyadhanyasi|సురన్త్యధన్యాసి 
viralila|విరలీల 
sviya|స్వియ 
sudhatarangini|సుధాతరంగిణి 
latangi|లతంగి 
nivegam|నీవేగం 
sundarahemavati|సుందరహేమవతి
bhogadhvaja|భోగధ్వజ 
hamsagirvani|హంసగీర్వాణి 
tiruindu|తిరుఇందు 
kashiramakriya|కాశీరామక్రియ 
jneya|జ్ఞేయ 
vitthalapriya|విత్తలప్రియ 
tiravadi|తిరవడి 
dahana|దహన 
sundarasitapriya|సుందరాసీతప్రియ 
tamalaki|తమలకి 
madhuranjani|మధురంజని
shenganan|షేన్గణాన్ 
ugadi|ఉగాది
mamahalingam|మమహాలింగం 
sudipaka|సూదీపక 
rankavambari|రాంకవంబరి 
kantadhanyasi|కంతధన్యాసి 
janhavi|జాన్హవి 
svarasammodini|స్వరాసమ్మోదిని 
gandharvakannada|గంధర్వకన్నడ 
kamaripriya|కమరిప్రియ 
santanadipika|సంతానదీపిక 
ma-arputamurti|మా-ఆర్పుతమూర్తి 
nevadhi|నెవది 
bhogaranjani|భోగరంజని 
selvamani|సేల్వమని 
kuku|కుకు 
shanam|శనమ్ 
shrikanthi|శ్రీకాంతి 
gandhragaula|గంధరగౌళ 
citravarali|చిత్రవరాళి 
upendravajram|ఉపేంద్రవజ్రమ్ 
tapasapriya|తపసప్రియ 
vijayakokila|విజయకోకిల
nukku|నుక్కు 
shobhavari|శోభవరి 
bhanugirvani|భానుగీర్వాణి 
mohananata|మోహననట 
dhavalaangam|ధవలాంగం 
arumin|ఆరుమిన్ 
visayanarayani|విసయనారాయణి 
mavuka|మావుక 
kuntalarama|కుంతలరామ 
cinni|చిన్ని 
shriomkarabhusani|శ్రీఓంకారభూసాని 
uttari|ఉత్తరీ 
viralon|వీరలోన్ 
kuntalasimharavam|కుంతలసింహారావం 
venugaravam|వేణుగారవం 
madhumagan|మధుమగన్ 
tivrikavasanta|తివ్రికవసంత 
pakashasanapriya|పాకశాసనాప్రియ 
sindhumukha|సింధుముఖ 
imaiyavarkoman|ఇమైయవర్కోమన్ 
bhumin|భూమిన్ 
natanadipakam|నటనాదిపాకం 
siddhasena|సిధ్ధసేన 
gomedhikapriya|గోమేధికప్రియ 
uadayaravicandrika|ఉడయరవిచంద్రిక 
kalamurti|కాలమూర్తి 
hemarnavam|హేమార్ణవం 
kaikesi| కైకేసి 
kamavardhini|కామవర్ధిని 
kusyaketupriya| కుస్యకేతుప్రియ 
uvanti|ఉవంతి 
bhavapriya|భవప్రియ 
hamsanandana|హంసనందన
bhanudipaka|భానుదిపక 
madhupati|మధుపాటి 
panamdaman|పానందమన్ 
samantam|సమంతం 
sallapam|సల్లాపం 
kalika|కాళిక 
hanumatodi|హనుమతోడి 
makanakabhavani|మకనకభావని 
sarangadaranjani|సారంగదరంజని 
vanajambari|వనజంబరి 
sakatolarava|సకటోళారవ 
drti|దృతి 
hamsabhogi|హంసభోగి 
ilaknthi|ఇలక్నతి 
gamanakriya|గమనక్రియ 
somaragam|సోమరాగం 
triambakapriya|త్రియంబకప్రియ 
suryaoli|సూర్యోలి
kaumodaka|కౌమోదక 
shendurukku|షెన్డురుక్కు 
devahamsika|దేవహంసిక 
simharavam|సింహరావం 
bhanugaula|భానుగౌళ 
ramaranjani|రామరంజని 
palini|పాలిని
ragapratapa|రాగప్రతాప 
vijayamatiruvasantam|విజయమతిరువసంతం 
manoharmand| మనోహర్మన్డ్ 
kanyavidana|కన్యవిధాన 
kiranavali|కిరనావలి 
tapamukhari|తపముఖరి 
balacandrika|బాలచంద్రిక
deshikarudri|దేశికారుద్రి 
shrimati|శ్రీమతి
shrngamola| ష్రన్గామోలా 
pratapavasantam|ప్రతాపవసంతం 
kaumati|కౌమతి
hemamandara|హేమమందార 
tandurai|తందురై 
cenduruti|చేందురుతి  
tarapati|తరపతి 
bandhu|బంధు 
kumkumambari|కుంకుమాంబరి
mohanacandrika|మోహనచంద్రిక
saravilambi|సరవిలంబి 
mohanangi|మోహనాంగి 
dandilam|దండిలం 
jaganmanohari|జగన్మనోహరి 
bidal|బీడల్ 
ramanarayani|రామనారాయణి 
talaranjani|తలారంజని 
garudapriya|గరుడప్రియ 
bhupalatodi|భూపాలతోడి
ambuyai|అంబుయై 
bhramaravardini| భ్రమరవర్ధిని 
somabhupalam|సోమభూపాళం 
jayarama|జయరామ
vinnavadadhipati|విన్నవాదాధిపతి 
jagadambari|జగదంబరీ 
jhankaarabhramari|ఝాన్కారభ్రమరీ 
mattebhavil|మత్తేభవిల్ 
herambapriya|హేరంబప్రియ 
brndavanakannada|బృందావనకన్నడ 
indughantaravam|ఇందుఘంటారావం
sanjayan|సంజయన్ 
kamalabharanam|కమలాభరణం 
tamokini|తమోకిని 
kantisvarupini|కాంతిస్వరూపిణి 
kunal|కునాల్ 
shubhangi|శుభాంగి 
saindhavakriya|సైంధవక్రియ 
naitikai|నైటీకై 
catam|కాటం 
ekaksari|ఎకక్సారి 
bhagavati|భగవతి
grishmavali| గ్రీష్మవాలి 
ishamanohari|ఇషామనోహరి
natyavardhini|నాట్యవర్ధిని
parandaman| పరందామన్ 
nilakkumizh|నీలక్కుమిజ్
kedaramanjari|కేదారమంజరి 
shubhavahini|శుభవాహినీ 
kanakabhavani|కనకభవాని 
janyabhairavi| జన్యభైరవి 
shuddhakaivashi|శుద్ధఖైవశీ 
asaveritodi|అసావేరితోడి 
sukhambal|సుఖంబల్ 
jaganmamohini|జగన్మామోహిని 
kumaradyuti|కుమారద్యుతి 
nirosta|నిరోస్త 
nagatarangini|నాగతరంగిని
gaganakusumavali|గగనకుసుమావళి
triveni|త్రివేణి
shutavam|షుతవం 
todari|తోదరి 
amrtavasanta|అమృతవసంత 
kallolasaveri|కల్లోలసావేరి 
