shadjamam|షడ్జమం 
madanambari|మదనంబిక
varidaranjani|వరదాంజనేయ
sadvikarekha|సద్విరేఖా
dhanamanjari|ధనంజయామంజరి
moksadayini|మోక్షసాధిని
ganavasantam|గణవాసంతమ్
hiradharini|హిరధారిణి
usanan|ఉనన్
tudiyanji|టుడియాంజి
athana|ఆఠానా
jyotiswarupini|జ్యోతిస్వరూప్
sarathigaula|శరత్గతుల
kurijivijaya|కురిజివిజయ
kuntalasaranga|కుంతలసారంగ
pallavam|పల్లవం
somanthan|సోమన్
gitikirani|గిత్తికిరణి
shuktijapriya|శుకితిజప్రియ
mayuramauli|మయూరమౌళి
shuddhagamakapriya|శుద్ధగమకాప్రియా
pinakini|పినాకినీ
amsumali|సుమాలి
sucharitra|సుచరిత్రుని
kannadamatta|కన్నదాదత్త
alayuta|అలయుత
mohanam|మోహనం
svayambhutiruccadangai|స్వయంభూతిరుచ్చడంగై
shuddhashikhamani|శుధ్ధశిఖామణి
tamari|తమరి
samantajingala|సామంతగజ్జల
sandanavali|సందావళి
parasharam|పరాశరమ్
lalita|లలితా
puranirmai|పురానిర్మై
kanakagiri|కనకగిరి
senarava|సేనారవ
margapratapa|మార్గపరతప
sairandhri|సాయిరాంధ్రి
damarukapriya|దామరక్కప్రియ
bhramara|భ్రమర
namohari|నమోహారి
kanaka|కనక
ma-bhogakusumavali|మ-భోగకసుమావళి
shivapantuvaraali|శివపంతువరాళి
nivaram|నివరం
virajantaka|విరాజంతక
sujaskavali|సుజాకావలి
kumilam|కుళం
devagiri|దేవగిరి
valakilliyar|వల్కిలియార్
shuddhasaranga|శుధ్ధసారంగ
visharada|విశారద
bharmambari|భర్మాంబరి
oliyal|ఒలియల్
kunjam|కుఞ్జం
gowrivelaavali|గౌరీవెలావళి
samantadipaka|సమంతడిపక
kara|కర
prastapana|ప్రస్టానా
lalitagandhari|లలితగాంధరి
parabhrtavani|పరాభ్రతవాణి
vidambamati|విధంబతి
makambhoji|మకరంభోజి
dvishamandini|ద్విషమండలిని
devanayaki|దేవనాయకి
gauri|గౌరీ
shrianila|శ్రీనలా
shanavi|శానవి
bhusanadharini|భహునమధిని
jajalavasini|జాజలవాసిని
shuddhapancali|శుధ్ధాపచలీ
bhramarottari|భ్రమరాోత్తారి
vakulabharanar|వకుళభరణರ್
sindhusurati|సింధుసురతి
valaji|వలజి
deshyabegada|దేశీయాబగడ
yogajyoti|యోగజ్యోతి
ragamanjari|రఘుమంజరి
bhandi|భానుడి
kurinjichaya|కురింజనిచాయ
nayanabhusini|నయనహుషిని
jagabharnam|జగభరణం
simhala|సింహళ
marakatashri|మరకతాద్రి
simhasvarupini|సింహవరూధిని
somadiparam|సోదిపరమ
kalharu|కల్హారు
dosarahitasvarupini|దోసరహితశవరూధిని
tridashiranjani|త్రిదశశిరంజని
vasudai|వసుధై
kanakaranjani|కనకరంజని
kumudabharanam|కుముదభరణం
hindustaniasaveri|హిందుసానియాసావేరి
ghantaravam|ఘంటారావం
sunada|సునాద
capaganta|కప్పగంత
naimapriya|నైమిప్రియా!
suniti|సునీతి
kamalapati|కమలాపతి
ishaikadandaipada|ఇషకనందైపడ
vadari|వడారి
ranabherioli|రణభేరి
shuddhavelavali|శుధవేళావళి
vipani|విపణీ
salanganata|సలంగనత
daksayani|దక్షిణి
kamya|కామ్య
sharadindumukhi|శారదఇందముఖి
gopikamanoranjani|గోపికామనోరంజని
koi|కోయి
alakadhipati|ాలకాధిపతి
prataram|ప్రతాం
bhasmrti|భస్మర్తి
jnanasvarupini|జ్ఞానవరూధిని
punkaram|పుండంకారం
hemavahini|హేమావాహిని
shivanayaki|శివానాయకి
gausutapriya|గౌతసూతప్రియ
janyatodi|జనయతోడి
padmakalyani|పద్మాకల్యాణి
brndavanasaranga|బృన్దవనశరంగ
shuddhajingala|శుధ్ధగజ్జల
shivagopuram|శివగోపురము
purnalalita|పురినలలిత
kalloladhvani|కాలలోలధ్వని
annavurdi|అన్నావురుద్ది
yaman|యమన్
ganamurti|గనంమూర్తి
samantashikhamani|సమన్తాషిఖమణి
samantavelavali|సమంతావళి
nagaghantanam|నాగఘంటానం
osadishapriya|ఓసాదిశప్రియా
dhanakapi|ధనకపి
jalajavasini|జలజవాసిని
indudhanyasi|ఇందుధన్యాసి
japalikam|జపాలకం
kanjabhavapriya|కంజాభవప్రియ
shriranjani|శ్రీరంజని
bhramarasukhi|భ్రమరాముఖి
shental|షంటల్
kusumabhavani|కుసుమభవానీ
tamam|తమటం
krpalu|క్రపాలూ
puspalata|పుస్పలత
jnananayaka|జ్ఞాననాయక
candaherali|చందహేళి
sitakalyani|సితకలసాని
todu|తోడడు
kala|కల
dhairyamukhi|ధియర్యముఖి
kanakavarali|కనకవరాళి
shuddhashrutiranjani|శుధ్ధశృతిలరంజని
tamohini|తమోహిణి
totraravu|తోట్రారావు
shuranam|శూర్ణమ్
candrikatodi|చంద్రికాతోడి
citramani|చిత్తరమణి
svarabhusani|స్వర్గస్తుని
candrakantam|చంద్రకాంతం
titta|టిట్ట
shukraprabha|శరుకప్రభ
parijata|పారిజాత
jambukriya|జంబుకక్రియ
citsvarupi|చిత్తస్వరూపి
sureshvari|సురేశ్వరి
sakalasvarupi|సకలశవరపి
velavalayam|వెలవలయం
calai|కాలై
sampurnnanatakuranji|సంపూర్ననాతకురంగంజి
madhyamavarali|మధ్యమవరాళి
lalitamaruva|లలితామరవ
kanakamandana|కనకనందన
gauripantu|గౌరీపంతు
purvakalyani|పువకుళయని
lavanyavati|లవణ్యవతి
natakatodi|నాటకతోడి
varalitilakam|వరాలితిలకం
grahanambari|గ్రాహంబరి
sudalayadi|సుదళయాది
nasavati|నసతి
ghantaipancamam|ఘనతైపంచమం
katta|కట్టా
koiyyadi|కోయయ్యది
punitan|పునితాన్
pataladhari|పాతాళధరి
jalakesari|జలకసేరి
maratarangini|మరతరంగిని
saman|చమన్
ganabhusani|గణభసాని
harsakapi|హర్శాపి
rajeshvari|రాజేశ్వరి
natyoma|నాటయోమా
vijayakoshala|విజయకోశాల
gauribangala|గౌరీబంగాల
shivaraudram|శివౌడ్రమ్
kokilapancaman|కోకిలపాన్కామన్
ekagrani|ఏకఘ్రాణి
lasaki|లసాకి
hasamanjari|హసామంజరి
dhaulika|ధౌలిక
svaracudamani|స్వర్గధమని
samalapini|సమాలాసిని
shribhanudipa|శ్రీభానుదీప
nilaprabha|నీలప్రభ
varalila|వరలీల
nammazhvar|నమ్మాహ్వార్
mukundapriya|ముకుందప్రియ
aravanaiyan|అరవనైయన్
kandari|కందరి
sarvavahini|సర్వవాహిని
suryakamadhyamam|సూర్యమాత్యామం
mandahasini|మందహాసిని
ambanatti|ఁబానట్టి
sampurnakurinji|సంపూర్నసురంజి
tashpipala|తాష్పిప్పల
shulikai|శుక్కికై
punnagavrali|పున్ననాగరవళి
kusumasaranga|కుసుమశరంగ
ekanayaka|ఏకానాయక
usana|సనం
vijayavardhini|విజయవర్ధిని
dandulam|దండులం
vajracudamani|వజ్రాదమణి
ardrambari|అర్ధాంబరి
ekanika|ఎకనిక
shri|శ్రీ
tarinjakam|టారంజకం
kedam|కెడామ్ రికార్డ్స్ సంక్షిప్తీకరించిన
vivardhini|వివర్ధిని
nicanam|నినం
picitam|పికితం
sucaritra|సుచరిమిత్ర
ramapriya|రామప్రియ
karnatakakannada|కర్నాటకకన్నాడ
annal|అన్నల్
himaja|హిమజ
mecagandhari|మెచ్చగంధధారి
chayarudra|ఛాయారద్ర
vijayanagari|విజయనగరి
tittam|తిత్తమ్
shrikaramukha|శ్రీకరముఖ
madhuradhvani|మధురధ్వని
anuruoli|అనరుద్దోలి
pinjakan|పింజక్కన్
sauryavardhini|సౌర్ధ్యవర్ధిని
divyatarangini|దివ్యరంగిని
ganitavinodini|గణితావినోదిని
allagadri|అల్లాగద్రి
velavali|వెలావళి
cakramanjari|చక్రాంజరి
mohanakalyani|మోహనకలసాని
indirapriya|ఇందిరప్రియ
dharanimanohari|ధరణీమనోహరి
dankamani|దత్తకామణి
koshalai|కోషలై
shantasvarupi|శాంతావరపి
kalakahamsa|కలశ హంస
jayasaranga|జయరంగ
gayakalapini|గయక్కలగిని
sharadamati|శారదమతి
makanakagiri|మకనమగిరి
nagasamantam|నాగమాంతమ్
vikasitananda|వికశితానంద
devanata|దేవాన్త
sarasvati|సరస్వతి
diyambari|దియంబరి
margajayanti|మార్గాజయంతి
jnanayurdi|జ్ఞానఆయుర్ది
tillainayaki|టిల్లినాయనకి
virarani|విరాణి
sukhamesvarupan|సుఖమేశ్వరపున్
jananandi|జనానంది
tiruaravan|తిరురావన్
kamalapani|కమలాపాణి
kokiladhvani|కోకిలధ్వని
arulnayaki|ఆరులనాయకి
shrimaalakantha|శ్రీమాకలకంఠ
lokapriya|లోకప్రియ
doka|డోకా
kesharam|కేశారాం
girvani|గిరవాని
indravardhanam|ఇంద్రావర్ధనమ్
suratinayakam|సురత్నాయకం
tikasham|కషషమ్
jayavelavali|జయవళావళి
lavanadhari|లవణధరి
vadamalar|వడ్లమలర్
surabhairavi|సురభైరవి
kalavasantam|కళావాసాంతము
purashu|పుషూ
shuddhabilaval|శుధ్ధబిలావల్
jayashri|జయశ్రీ
kanakavasantika|కనకవాసిక
gundakriya|గుణదరియ
shritapasvini|శ్రీతపస్విని
dhatakunda|ధతకతుంద
suryakantam|సూర్యకాంతం
sarvakuntala|సర్వకుంతల
khamaji|ఖమాజి
gaanasaamavaraali|గజనామామవరాళి
valacaram|వలచారం
kanakagirvani|కనకనగర్వాణి
sukhadayini|సుఖదయని
parambu|పరంబు
venpali|వేపాళీ
aimmukhan|ఏఐముఖాన్
pratapahamsi|ప్రతాపహమ్సి
occai|occai
dipavarali|దీపవరాలి
bhramaratarangini|భ్రమరాతరరంగిని
vidashoka|విదాశోక
mukundavacaspati|ముకుందాస్పతి
ausadishapriya|ఆసాదిషప్రియ
saradabhairavi|శారదాభైరవి
bhaumukhi|భాముఖి
vallabhi|వల్లభి
devasevai|దేవఏవై
ratnakarsani|రత్నాసని
chayamalavi|చయమలవి
ksanika|క్సానిక
manini|మానిని
sanjivini|సంజీవినిలో
paganrai|పవనరాయ్
hahori|హహోరి
hamsapriya|హంసాప్రియ
dvimukhapriya|ద్విముఖప్రియ
samatrasalavi|సమతారసవి
jnata|jnata
ugran|ఉరాన్
senamanohari|సేనానోహరి
kusumba|కుసుంబ
shrimanji|శ్రీమంతగారు
karnatakakhamas|కర్ణాకర్ణహతం
shaivalini|శైవాలిని
suraranjani|సురారంజని
malsharam|మల్షరం
nathanali|నాథాలీ
druvanapriya|ద్రువనప్రియ
neminadam|నేనీనాదం
jagamani|జగమని
duritanivarini|దురితనివర్ణి
marakatagaula|మరకతముల
aruayirani|ఆరుయరాణి
sherparattai|షెపరట్టయి
mand|శకరాజుల మహాక్షత్రప బిరుదాన్ని
agnidara|అగ్నిదర
pravalashodi|ప్రవాళఅశోది
maduraivasan|మధురవాసన్
kalakanthadhvani|కాలాన్తధ్వని
nagabhasani|నాగభాసాని
kusumavicitra|కుసుమవిచిత్ర
satyabhusani|సత్యభూతాని
purvadarshi|పూర్వాదర్షి
tirukkuttan|తిరుక్కుట్టన్
udayabhairavi|ఉదయభైరవి
shuddhajyotismati|శుధ్జ్యోతిష్మతి
kiriti|కిరిటీ
salorccam|సాలోచ్చకం
ragapradipika|రఘురాపిపాక
gaganasarasiruham|గగన శరశిరుహమ్
kancanabauli|కంకానాభౌలి
tiruaindiri|తిరుతిరి
shiranti|షిర్ంటి
shuddhagaula|శుధ్ధగతుల
nirmitam|నిరమితమ్
devahamsadhvani|దేవాహసద్ధ్వని
nanmukhan|నాముఖాన్
natyamangala|నాట్యమంగళ
ksemankari|కసెంకరి
malmarugansharam|మల్మరుగనశరమ్
ishvari|ఈశ్వరీ
hamsapancamam|హంసాపంచమం
muduvan|ముదువన్
gandharapriya|గంధప్రియ
bhanupriya|భానుప్రియ
tinguzhal|టింగులిజ్హాల్
atan|అతాను
hamsakalyani|హంసాకల్యాణి
shuddhamadhyamam|శుధ్ధమధ్యమం
kamalavrdi|కమలావడ్డి
kalabhogi|కాలభోగి
saudhari|సౌధరి
deshaksiri|దేశికసిరి
niravadya|నిరవద్య
vidasandohini|విసానందోహిణి
agnikopam|అగ్నికోపం
vadarakkkaicci|వడారక్కూచి
indushitala|ఇందుషితల
nagasanjivini|నాగఅన్వేని
shyaamalam|షయాచలం
aravamani|అరవమని
tomparai|తోపాయి
santvabhasini|సన్త్వభాసిని
nirmati|నిర్మతి
kokiladipakam|కోకిలదీపాకం
nagagandhari|నాగంధరి
sakhari|సకరి
sindhusaveri|సింధుసావేరి
dorali|దొరలి
subhasini|సుభాషిణి
kanti|కంగ్టి
jogibhairavi|జోగిభైరవి
supraketana|సుప్రభాత
tatimam|తాతిమం
raktimargini|రక్షతిమార్గిని
gandhamadana|గంధమాదన
vedika|వీణవంక
cittakarsani|చిత్తకర్సని
dhisanarati|ధిసనారతి
shrinavaratnabhusani|తగ్గివరత్నహుషని
deshisimharava|దేశిసింహరావా
ksirarnavam|కసిర్రానవనం
pancanarayani|పంచారాయణి
kusumabhramari|కుసుమభరమరి
cakrodhari|చక్రధారి
nijachamaram|నిజహస్తము
bhanucudamani|భానురుమణి
ishagaula|ీషగుల
samakurinji|సామకుర్ంజి
kanchamala|కాంచనమాల
kodaibhupalam|కొడైభూపాలం
mahila|మహేల
anandamukhi|ఆనందముఖి
vimalamohan|విమలమోహన్
yagapriya|యజ్ఞప్రియ
guhabharanam|గుహాభరణం
pranavakari|ప్రణవకారి
sarvacudamani|సర్వచరుమణి
devailai|దేవైలై
mahalikam|మహాలికాం
ma-candikai|మ-కాకాన్కై
kalahamsa|కళాహంస
hamviru|హవీరు
simhasvarupi|సింహవరపి
tiruccendilvel|తిరుచన్దివేల్
alari|అలరి
sarveshvari|సర్వేశ్వరి
namagandharva|నమగందర్వ
puruhutikam|పురుహూతికాం
kamalottaram|కమాలోత్తరం
samararanjani|సమరరంజని
timirari|తిమిరారి
kriyavati|క్రియాయతి
jagangana|జంగానా
kanakavasantam|కనకవాసితం
tamanidhimalai|తమనిధిమలై
abhogi|అభోగి
samapriya|సమప్రియ
kuksani|కుకసాని
madaranjani|మదర్రంజని
ponni|పొన్ని
salakika|సాలకిక
riticandrika|రిటికచంద్రిక
ambhojini|ంభోజిని
sindhudeshya|సింధుదేశ్య
shaleyam|శల్యేయం
mattagandhari|మత్తంధరి
janapunjari|జనపంజరి
shonavati|శొంవతీ
magizhnan|మాగ్జిహ్నాన్
pandil|పండిల్
rekharanjani|రేఖరంజనీ
viravasantam|వీరవసంతం
netru|నెట్రు
maduraivasani|మధురవాహిని
caturanana|చతురానా
induvardhanam|ఇందువర్ధనమ్
nayanaranjani|నయనారంజని
namaprabha|నమోప్రభ
sangaditi|సంగఅదితి
sanatanapantuvarali|సనతనాప్తువరాళి
jalarnavam|జలార్నవనం
ganangi|గనంగి
omkaraghosani|ఓంకారహోసని
nirvikamodam|నిర్వికాంబోదకం
gumyadyuti|గుమ్మద్యుతి
candrashekharapriya|చంద్రశేఖరప్రియ
vegavaditya|వేగాదిత్య
pataka|పటాకా
shuddhabhairavi|శుధ్ధభైరవి
shradvini|శ్రద్వినీ
sindhuramakriya|సింధూరరామప్రియ
deshyagauri|దేశ్ యాగగౌరి
chakravakam|చక్రవాకం
karnatajogi|కర్ణాతిజోగి
tamraketana|తామరకేచన
purvaparaju|పర్వరాజు
rasikapriya|రసికప్రియ
penandoli|పెందోలి
kokilaaravam|కోకిలరావవం
jinavarali|జివరాళి
dharmaprakashini|ధర్మప్రకాసిని
mayuracari|మయూరకార్తె
takka|తడ్కా
citravani|చిత్తరవాణి
kuntalasimharam|కుంతలసింహహారం
prataparanjani|ప్రతాపరుద్రరంజని
shashivadana|శషవదన
ayirai|ాయీరాయ్
tittanam|తంత్రం
saveri|సావేరి
kantamanjari|కాంతామంజరి
puspavasanta|పుస్పవసంత
maruvacandrika|మరువచన్రీక
shinjini|షింజిని
nadika|నడకా
neippu|నెప్పు
tunganaga|తుగననగ
shivedai|శివేదై
vagimata|వామిమాత
shaktiprakashini|శక్తిప్రకాశిని
kutuhalam|కుతూహలం
nittikam|నిటికాం
caracandini|కారానందిని
hindustanibehag|హిందూసానియాబేగ్
malavagandhari|మాళవగాంధరి
vasantagaula|వసంతగణముల
gomandalam|గోండాలం
shravanamallika|శ్రావణమామలిక
sowveeram|సోవువీరమ్
jivantini|జీవీంతిని
mangalagauri|మంగళగౌరి
alakavarvali|అలకవర్వలి
cencudatani|చెన్నుదాసాని
kudamadal|కుమడళ్
shakti|శక్తి
shubam|శుభం
gourimanohari|గౌరిమనోహరి
prithvi|పృథ్వీ
hanokaha|హనోకహ
deshikagauri|దేషికాగౌరి
neli|నెల్లి
esandoli|ఎసోండోలి
mauktikadarpanam|మౌక్తికా ర్పణమ్
devi|దేవి
megharanjani|మేఘరంజని
madhuryakokila|మధుయకోకిలల
punaikuzhal|పునైకుజ్హాల్
tiruuruvan|తిరురువన్
pratapasaranga|ప్రతాపసారంగ
shantakesari|శాంతాక్షరి
kicakari|కిక్కరి
saudam|సౌదీకి
viravahini|వీరవాహినీ
shadjukambhoji|షజుకాంభోజి
kollikappanam|కొల్లికప్పనం
anughanta|అనుఘంట
vaishakam|థియేట్రిక
nirmalan|నిర్మలన్
nilika|నిక
shatam|షతం
shuddhakampitam|శుధ్ధాకాంపితమ్
badarika|బదరీక
mandari|మందారి
vinnavartilakam|వినునవతిలకం
jnanacintamani|జ్ఞానాంతామణి
trimurti|త్రిమూర్తి
navamanicandrika|నవమంత్రచంద్రిక
kuciramani|కుచిరమణి
sputalapini|స్పుటలప్ని
nagadipakam|నాగడిపాకం
dandiyal|దన్డియాల్
nagavasini|నాగవాసిని
navanitapancama|నవనీతపంచమ
hamsakokilam|హంసాకోకిలమ్
shuddhahindola|శుధ్ధిభొట్ల
cinnai|సిన్నై
pratiti|స్తుతి
sumanishapriya|సుమశ్రీప్రియ
mayuradhvani|మయూరధ్వనీ
shvetamabri|ష్వేతంబ్రి
takkesi|తకేయి
talappam|తలప్పం
vadacandrika|వదచంద్రిక
shikharinimbam|శిఖరినిబం
navarasabangala|నవరసాల
anandalila|ఆనందలీల
saimmini|సాయిమిని
tilakamandari|తిలకరందారీ
dipakriya|దిపరియ
sannihita|సనిహిత
asuraguru|అసురగూరు
kamukhapriya|కముఖప్రియ
vasantashri|వసంతశ్రీ
ragavasantam|రాఘవసంటమ్
satyavati|సత్యవతి
kamalasuna|కమలశున
ghantavali|ఘంటావళి
gaularevagupti|గాజులవరపుర్తి
chitramani|చిత్రరమణి
purnasaveri|పూర్వాసావేరి
kancanavati|కాంచనవతి
vijayabhiru|విజయభీరూ
hemalataa|హేమలత
kuvalayanandi|కువలయానంది
girikarnika|గిరికర్నిక
pancalika|పానకాలిక
shukravardhana|శరుకర్ధన్
gottani|గోట్టాని
jnanavalli|జ్ఞానవల్లి
kriyaviraman|క్రియవీరామన్
jnanabodhini|జ్ఞానబోధిని
puspamani|పుస్పమణి
khagarajitam|ఖగరాజితం
tarukanni|తరుక్కన్ని
trinetrapriya|త్రినేత్రప్రియ
kurandalocani|కురండాలలోచని
calani|కాలానీ
himavilasini|హిమావిలాసిని
ma-andoli|మా-అండోలి
meghamallaru|మేఘమాలేరు
kanakashrikanthi|కనకాష్ట్రకంఠి
aranapriyan|అర్చనప్రియన్
parapari|పరపరాణి
kokilavardhani|కోకిలవర్ధని
deshakya|దేశయ్య
kamavardani|కామవర్ధని
magopati|మగ్పతి
jyoti|జ్యోతి
maruvaranjani|మరువరంజని
dhirasaveri|ధిరసావేరి
gaurishankar|గౌరీశంకర్
aiyyan|ఐలయ్యన్
nekkurodam|నెక్కురోడాం
lokaksi|లోకక్కసి
shananastra|శనాస్త్రం
ghosavani|ఘోసాని
kantarkapani|కంతకరాణి
ramamanohari|రామానోహరి
kaushikadhvani|కౌశికత్ధ్వని
gagarajita|గరాజిత
avanan|రవణన్
vasantasugandhi|వసంతయుగంధి
dharanipriya|ధరణిప్రియ
mangalakaishiki|మంగళకనైషికి
makaranta|మకర్ంత
brndavanadeshaksi|బ్రన్దవనాధేశక్సి
kokilapancamam|కోకిలపాన్కామ్
bhinnavarali|భన్నవరళి
devapugazhmani|దేవపుజిహ్మణి
kuyilruliru|కుయిలురుిర్రు
shozhakkuranji|షోర్హాకురాంజీ
jaralata|జరలలాట
santanamanjari|సంతమాంజరి
ninadam|నినాదం
malapanati|మలాపనాతి
shrijaganmohini|శ్రీజగన్మోహిని
arulnayakan|ారులనాయకన్
panavanaraca|పవనారచ్చ
codaranjani|కోదరంజని
arunajvalita|అరుణరాజ్వలిత
ksidraksi|కసిద్రక్కసి
shuddhamalavi|శుధ్ధమాలవి
sadakavanan|సదకవనన్
kuntalasvaravali|కుంటాలసావర్వళి
candrikagaula|చంద్రికాగతుల
vazhuvai|వాజ్హువాయి
vinayamrgi|వినయంబర్గి
tiramam|రామం
anikini|అనీకిని
lalitashrikanthi|లలితాష్టకాంతి
karpani|కరణం
sarangabauli|సారంగభౌలి
dhatapancamam|ధాతపాన్కామమ్
nitimurti|నితిమూర్తి
kannadagaula|కన్నడగుల
nadamurti|నాదమూర్తి
punam|పున్నం
phenadhyuti|ఫెధ్యుతి
jayantashri|జయంతశ్రీ
shengattiri|షంగతతిరి
magadhana|మగధన
pantuvarali|పంతువరాలి
purnasvaravali|పూర్వావళి
vanimanjari|వాణీమంజరి
jayabhavani|జయభవానీ
adumnayakan|అధునయక్కన్
padmavali|పద్వలవాలి
sadanandapriya|సదానందప్రియ
maraladhvani|మరలధ్వని
kanakalankarini|కనకలంకారిణి
vanajamukhi|వనజముఖి
sundarabhairavi|సుందరభైరవి
gandharadhvani|గంధర్వధ్వని
shiyakkini|శిఖయకిని
dirghanandini|దిర్ఘనందిని
tamodini|తడోదిని
ganalolam|గణాలం
urogaka|రూక
behagdeshikam|బెగ్దేషికం
janandolika|జనాండలిక
mukundamanjari|ముకున్దమంజరి
shuddhadhanyasi|శుద్ధధన్యాసి
stavaraajam|స్తవరాజం
ganasuprabhatam|గణసుప్రభాతం
atsapaka|త్సపక
bhuvaneshvari|భువనేశ్వరి
shrinatakuranji|తగ్గిరటకుంజి
svayambhu|స్వయంభూ
shrijaudagandhari|శ్రీజౌదంధధారి
dhrtarupa|ధృతరూప
jnanalola|జ్ఞానసలసల
ksanaprabha|క్సనప్రభ
caravali|చరవళి
hamsanisari|హంసానిసరి
gopikavasantam|గోపకవిసాంతము
tiyotam|తియోతం
kudatti|కుట్టి
mahasukhavati|మహాసుఖవతి
punnagalalita|పున్ననాగలలిత
ravi|రవి
tamraranjani|తమరంజని
mitrakirani|మిత్రాఇరానీ
shataviru|శతవిరారు
grahapati|గ్రహపతి
bahali|బాహబలి
campalata|కంపాలాట
bhikaraghosani|భిక్షగాహోస్ని
kitrumati|కిరుమతి
danaraksasa|దనఅరసస
shuddhanirmada|శుధ్ధనిర్మద
bhujangacintamani|భుజంగనితమ్ని
vinamrtam|వినమృతం
shukaram|శుభకరం
purai|ురాయి
brduvaka|బ్రువుక
shrimalavi|శ్రీమలవి
bhanuta|భానుట
nagasvaravali|నాగవరాళి
mohanavacaspati|మోహనవశపతి
hamsabhramari|హంసాభిరామరి
kapi|కేపీ
mitabhasita|మితభాసిత
namaghalgati|నామఘళగతి
andarmadeva|ందర్మాదేవ
kusumavali|కుసుమావళి
mandamari|మందారీ
shankari|శంకరి
purvaramakriya|పుర్వరమఖరియ
shaktipada|శక్తిపాద
ammaiyappar|అమ్మైయప్పార్
tiraskarani|తిరకరణి
gayakamandini|గాయకమండలిని
bhanukriya|భానుక్రియ
vasantaghusi|వసంతగహుని
avarohanamri|వరోహణామి
mukhashyamala|ముఖాశ్యామల
deshamukhari|దేశముఖారి
samantadiparam|సమన్తాదిపరం
rajamanjari|రాజమంజరి
shengazhunir|షెన్గజ్ఘీర్
shrihamsabhusani|శ్రీహంసాహుని
kuntaladhanyasi|కుంతలధన్యాసి
prapancashraya|ప్రాపకాశ్రయ
samakriya|సమకీరియ
kannada|కన్నడ
nadasanjivi|నాదసఞ్చవి
narayanamanohari|నారాయణానోహరి
yogalila|యోగలీల
darbhamanjari|దర్పమంజరి
bhrata|రాష్ట్భ్రావృద్ధికి
padmasaundarya|పద్మాసౌందర్య
hasyagandhari|హస్యగంధరి
garalari|గరళారి
ketanavali|కేతనవళి
svaravali|స్వరవళి
buddhan|బుద్దిన్
karnatakabyag|కర్నాటకకభ్యగ్
praguni|ప్రగుణి
shikhirani|శిఖిరాణి
bhavyalila|భవ్యలీల
rudrakesari|రుద్రకేసరి
komali|కోమలి
madanamohini|మదనమోహనీ
konraishudi|కోనరైశుడి
vikrama|విక్రమార్క
ma-amala|మ-అమల
bhanudhanyasi|భానుధన్యాసి
enurndon|ఎనర్నూన్
jayabharani|జయభరణి
svarnakanti|స్వరనక్కంటి
geervaani|గీర్వాణి
udayacandrika|ఉదయచంద్రిక
vaijayanti|వైజయంతి
ramya|రమ్య
karalari|కరాలరి
purnakambhoji|పురనంబాంభోజి
shembian|షెబియన్
tuyamanju|తుయంజయు
ghospani|ఘోస్పనీ
hindolanayaki|హిండోలనాయకి
haravardhana|హారవర్ధనుడు
anandamayan|ఆనందమయన్
yaddevika|దేవిక
saurastrakam|సౌరస్ట్రాకం
gandharabauli|గంధబౌలి
halayudhapriya|హల్యాయుధప్రియ
shuddhasimharavam|శుధ్ధసింహవం
svaravardhini|స్వరవర్ధిని
giriyabharana|గిరియభరణ
alarmaghal|అల్మర్మహల్
madhuvanti|మధువంతి
dhaivatachandrika|ధవతచన్త్రికా
shrivegavahini|శ్రీవేగావాహిని
gaulacandrika|గాజులచంద్రిక
candramandanam|చాంద్రమానం
shuddhkalyani|శుధ్కల్యాణి
gamakakriya|గమఖరియ
tripuradahanan|త్రిపురాదహన్
pusakalyani|పుసకళ్యాణి
bhupkalyan|భూపకళ్యాణ్
bageshribahar|బగేశ్రీబహార్
diksangi|డిసంగి
pratibimba|ప్రతిబింబ
hamsaprabhavali|హంసాప్రభావతి
palasi|తిరిగి
vipradhanyasi|విప్రధన్యాసి
malayalakurinji|మలయాళమురళినంజి
malatipriya|మాలతిప్రియ
nadeyam|నాణ్యం
kambhoji|కాంభోజి
indrapada|ఇంద్రపాద
tiruccayamaghal|తిరుచ్చాయనగళ్
chalanata|చలనతా
shivagata|శివగాత
kaliki|కాళికి
kori|కోరి
animadhya|ఆరాధ్య
varagi|వరగి
purnashyamala|పున్నశ్యామల
nagasaka|నాగరక
sukhanilambari|సుఖానిలంబిక
ekandoli|ఏకాకాండోలి
tiramaram|తిరమరం
kanakasabhai|కనకసాభాయి
karnatakashuddhasaveri|కర్ణాతకషధసావేరి
tanamargini|తన్మరగిని
supratapa|సుప్రతాప
manasijapriya|మనసిజప్రియ
rasavinodini|రసవినోదిని
nisshadam|నిశాదం
devabharanam|దేవభరణం
sheraman|షెరామన్
ketakankusha|కేతకకుష
shudraadhari|శూరాధరి
niskaran|నికరన్
saurastra|సౌరరాత్ర
latamani|లామణి
shukrajyoti|శుక్రాజ్యోతి
kosalam|కోసలామ్
shrikedaram|శ్రీకేతారం
kannadadarbar|కన్నడదర్బార్
nandini|నందిని
badakarani|బకరణి
sindhukriya|సింధూరక్రియ
malavi|మాలావి
candradhari|చంద్రధారి
shrikunjari|శ్రీకుంజరి
kudakkon|కుక్కాడ
rekhavati|రేఖవతి
pavakan|పావకన్
kanakaghnta|కనకఘ్నుత
stavaraja|స్తవరాజ
devasena|దేవసేన
gavambhodi|గవాంభోది
dantapancamam|dantapancamam
gaurilalita|గౌరీలలిత
jnan|జ్నాన్
jalodharam|జోలోకధరం
